代码	名称	公告时间	类型	公告内容
001389	广合科技	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约4.85亿元至5亿元，同比上升67.34%至72.51%，每股收益约1.19元至1.22元，扣非净利润约4.7亿元至4.8亿元，同比上升48.33%至51.49%
002299	圣农发展	2024-10-09	业绩预告	预计2024年1-9月业绩略减，归属净利润约3.7亿元至4.2亿元，同比下降43.21%至49.97%，每股收益约0.2987元至0.3392元，扣非净利润约3.4亿元至3.9亿元，同比下降45.42%至52.42%
002463	沪电股份	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约18.21亿元至18.71亿元，同比上升91.05%至96.29%，每股收益约0.95元至0.98元，扣非净利润约17.81亿元至18.31亿元，同比上升102.97%至108.66%
002532	天山铝业	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约30.74亿元，同比上升88.00%，每股收益约0.67元，扣非净利润约29.51亿元，同比上升122.00%
002535	林州重机	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.36亿元至1.45亿元，同比上升51.09%至61.08%，每股收益约0.1696元至0.1809元，扣非净利润约1.25亿元至1.35亿元，同比上升40.35%至51.58%
002550	千红制药	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.096亿元，同比上升56.47%，每股收益约0.25元，扣非净利润约2.151亿元，同比上升29.74%
002734	利民股份	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约4900万元至5300万元，同比上升122.76%至140.95%，每股收益约0.13元至0.15元，扣非净利润约3167万元至3567万元，同比上升179.67%至214.99%
300054	鼎龙股份	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.666亿元至3.79亿元，同比上升108.00%至115.00%，扣非净利润约3.385亿元至3.508亿元，同比上升161.00%至171.00%
300505	川金诺	2024-10-09	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.01亿元至1.21亿元，同比上升193.44%至211.94%，营业收入约21亿元至23亿元，同比上升9.67%至20.12%，扣非净利润约9180万元至1.118亿元，同比上升178.89%至196.07%
300627	华测导航	2024-10-09	业绩预告	预计2024年1-9月业绩略增，归属净利润约3.75亿元至3.9亿元，同比上升32.64%至37.95%，扣非净利润约3.27亿元至3.42亿元，同比上升29.53%至35.47%
301592	六九一二	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约1000万元至1500万元，同比上升366.20%至599.30%，营业收入约1.8亿元至2.2亿元，同比上升71.22%至109.27%，扣非净利润约1113万元至1613万元，同比上升851.78%至1279.50%
301592	六九一二	2024-10-09	业绩快报	2023年1-9月快报披露，营业总收入1.051亿元，归属净利润214.5万元
600816	建元信托	2024-10-09	报表披露	2024年三季报归属净利润4150万元，同比增长20.68%，基本每股收益0.0042元
601336	新华保险	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约186.1亿元至205.2亿元，同比上升95.00%至115.00%，扣非净利润约186.4亿元至205.6亿元，同比上升95.00%至115.00%
601702	华峰铝业	2024-10-09	业绩预告	预计2024年1-9月业绩略增，归属净利润约8.2亿元至9.2亿元，同比上升23.68%至38.76%，扣非净利润约8.1亿元至9.1亿元，同比上升24.04%至39.36%
605166	聚合顺	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.2亿元至2.5亿元，同比上升46.51%至66.49%，扣非净利润约2.1亿元至2.4亿元，同比上升43.09%至63.53%
605169	洪通燃气	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.65亿元，同比上升52.30%，扣非净利润约1.642亿元，同比上升51.72%
688208	道通科技	2024-10-09	业绩预告	预计2024年1-9月业绩预增，归属净利润约5.2亿元至5.7亿元，同比上升95.10%至113.86%，营业收入约26.6亿元至29.4亿元，同比上升21.48%至34.27%，扣非净利润约4.2亿元至4.7亿元，同比上升56.85%至75.53%
000403	派林生物	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约5.219亿元至5.545亿元，同比上升60.00%至70.00%，每股收益约0.714元至0.7587元，扣非净利润约4.855亿元至5.125亿元，同比上升80.00%至90.00%
000422	湖北宜化	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约7.55亿元至7.9亿元，同比上升94.04%至103.04%，每股收益约0.71元至0.7429元，扣非净利润约5.55亿元至5.9亿元，同比上升69.41%至80.09%
000423	东阿阿胶	2024-10-10	业绩预告	预计2024年1-9月业绩略增，归属净利润约11亿元至11.75亿元，同比上升40.00%至50.00%，每股收益约1.71元至1.83元，扣非净利润约10.15亿元至10.9亿元，同比上升45.00%至56.00%
000791	甘肃能源	2024-10-10	业绩预告	预计2024年1-9月业绩略增，归属净利润约5.95亿元至6.25亿元，同比上升6.49%至11.86%，每股收益约0.3717元至0.3905元，扣非净利润约5.85亿元至6.15亿元，同比上升4.73%至10.10%
002124	ST天邦	2024-10-10	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约13.01亿元至13.51亿元，每股收益约0.5855元至0.6081元，扣非净利润约1.188亿元至1.688亿元
002714	牧原股份	2024-10-10	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约100亿元至110亿元，同比上升642.79%至697.07%，每股收益约1.85元至2元，扣非净利润约115亿元至125亿元，同比上升844.91%至909.68%
002942	新农股份	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约7340万元至7540万元，同比上升232.00%至241.00%，每股收益约0.4705元至0.4833元，扣非净利润约5730万元至5930万元，同比上升513.00%至534.00%
002980	华盛昌	2024-10-10	业绩快报	2024年1-9月快报披露，营业总收入5.608亿元，归属净利润1.104亿元，基本每股收益0.98元
300001	特锐德	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约4.36亿元至4.615亿元，同比上升96.47%至107.99%，扣非净利润约3.8亿元至4.055亿元，同比上升119.17%至133.91%
300225	金力泰	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约1700万元至2500万元，同比上升176.00%至305.00%，扣非净利润约1500万元至2200万元，同比上升829.00%至1262.00%
300783	三只松鼠	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.378亿元至3.417亿元，同比上升99.13%至101.43%，扣非净利润约2.625亿元至2.695亿元，同比上升206.74%至214.92%
300881	盛德鑫泰	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.85亿元至1.9亿元，同比上升155.41%至162.32%，扣非净利润约1.79亿元至1.84亿元，同比上升147.73%至154.65%
301339	通行宝	2024-10-10	业绩快报	2024年1-9月快报披露，营业总收入5.338亿元，归属净利润1.671亿元，基本每股收益0.4106元
600141	兴发集团	2024-10-10	业绩预告	预计2024年1-9月业绩略增，归属净利润约12.8亿元至13.8亿元，同比上升37.07%至47.78%，扣非净利润约12.35亿元至13.35亿元，同比上升40.50%至51.87%
600420	国药现代	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约9.25亿元至9.85亿元，同比上升64.01%至74.65%，扣非净利润约8.92亿元至9.52亿元，同比上升68.30%至79.62%
600521	华海药业	2024-10-10	业绩预告	预计2024年1-9月业绩略增，归属净利润约9.88亿元至10.46亿元，同比上升37.00%至45.00%，扣非净利润约9.9亿元至10.55亿元，同比上升22.00%至30.00%
600674	川投能源	2024-10-10	业绩快报	2024年1-9月快报披露，营业总收入10.87亿元，归属净利润44.22亿元，基本每股收益0.9133元
601966	玲珑轮胎	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约16.5亿元至17.5亿元，同比上升72.00%至82.00%，扣非净利润约13.5亿元至14.3亿元，同比上升52.00%至60.00%
603162	海通发展	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.6亿元至4.4亿元，同比上升138.41%至191.39%，扣非净利润约3.22亿元至4.02亿元，同比上升114.67%至168.00%
603209	兴通股份	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.773亿元至2.793亿元，同比上升52.29%至53.39%，扣非净利润约2.693亿元至2.717亿元，同比上升53.26%至54.63%
603501	韦尔股份	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约22.67亿元至24.67亿元，同比上升515.35%至569.64%，营业收入约187.4亿元至189.9亿元，同比上升24.27%至25.93%，扣非净利润约22.02亿元至24.02亿元，同比上升1595.80%至1749.81%
605319	无锡振华	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.37亿元至2.5亿元，同比上升42.23%至50.04%，扣非净利润约2.33亿元至2.46亿元，同比上升49.25%至57.57%
605499	东鹏饮料	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约26亿元至27.3亿元，同比上升57.04%至64.89%，扣非净利润约25.5亿元至26.8亿元，同比上升69.76%至78.41%
688117	圣诺生物	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约5007万元至6120万元，同比上升43.90%至75.88%，扣非净利润约4765万元至5824万元，同比上升103.93%至149.25%
688249	晶合集成	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.7亿元至3亿元，同比上升744.01%至837.79%，营业收入约67亿元至68亿元，同比上升33.55%至35.54%
688591	泰凌微	2024-10-10	业绩预告	预计2024年1-9月业绩预增，归属净利润约5961万元，同比上升58.61%，营业收入约5.863亿元，同比上升23.14%，扣非净利润约5460万元，同比上升74.36%
000833	粤桂股份	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.14亿元至2.36亿元，同比上升340.96%至386.30%，每股收益约0.2668元至0.2942元，扣非净利润约2.164亿元至2.384亿元，同比上升382.86%至431.96%
002130	沃尔核材	2024-10-11	业绩预告	预计2024年1-9月业绩略增，归属净利润约6.241亿元至6.722亿元，同比上升30.00%至40.00%，每股收益约0.4954元至0.5335元，扣非净利润约5.923亿元至6.379亿元，同比上升30.00%至40.00%
002787	华源控股	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约5700万元至6100万元，同比上升141.79%至158.75%，每股收益约0.172元至0.1841元，扣非净利润约5364万元至5764万元，同比上升196.93%至219.07%
002835	同为股份	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.35亿元至1.6亿元，同比上升51.63%至79.71%，每股收益约0.62元至0.73元，扣非净利润约1.24亿元至1.48亿元，同比上升35.15%至61.31%
300533	冰川网络	2024-10-11	业绩预告	预计2024年1-9月业绩首亏，归属净利润约-5.1亿元至-4.1亿元，同比下降288.95%至335.03%，扣非净利润约-5.4亿元至-4.4亿元，同比下降365.60%至425.96%
300708	聚灿光电	2024-10-11	报表披露	2024年三季报归属净利润1.596亿元，同比增长107.02%，基本每股收益0.25元
300790	宇瞳光学	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.28亿元至1.42亿元，同比上升208.58%至242.33%，扣非净利润约1.19亿元至1.33亿元，同比上升274.59%至318.66%
301522	上大股份	2024-10-11	业绩预告	预计2024年1-9月业绩略增，归属净利润约1.2亿元至1.25亿元，同比上升1.28%至5.50%，营业收入约18.8亿元至19.2亿元，同比上升24.42%至27.07%，净利润约1.2亿元至1.25亿元，同比上升1.28%至5.50%，扣非净利润约1.02亿元至1.05亿元，同比上升0.85%至3.82%
600025	华能水电	2024-10-11	业绩快报	2024年1-9月快报披露，营业总收入194.2亿元，归属净利润72.26亿元
600746	江苏索普	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.85亿元至2.15亿元，扣非净利润约1.8亿元至2.1亿元
601058	赛轮轮胎	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约32.1亿元至32.8亿元，同比上升58.52%至61.98%，扣非净利润约31.1亿元至31.8亿元，同比上升48.17%至51.50%
601127	赛力斯	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约35亿元至41亿元，营业收入约1030亿元至1100亿元，同比上升518.00%至559.00%，扣非净利润约32亿元至38亿元
601236	红塔证券	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约6.52亿元，同比上升203.85%，扣非净利润约6.547亿元，同比上升218.58%
603058	永吉股份	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.15亿元至1.35亿元，同比上升89.99%至123.04%，扣非净利润约1.03亿元至1.23亿元，同比上升76.61%至110.90%
603236	移远通信	2024-10-11	业绩预告	预计2024年1-9月业绩略增，营业收入约131.5亿元，同比上升31.94%
603337	杰克股份	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约6亿元至6.3亿元，同比上升45.49%至52.77%，扣非净利润约5.49亿元至5.79亿元，同比上升47.62%至55.68%
603929	亚翔集成	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约4.215亿元至4.566亿元，同比上升84.44%至99.80%，营业收入约42.85亿元至45.5亿元，同比上升136.01%至150.61%，扣非净利润约4.202亿元至4.553亿元，同比上升85.06%至100.53%
605128	上海沿浦	2024-10-11	业绩快报	2024年1-9月快报披露，营业总收入14.99亿元，归属净利润1.084亿元，基本每股收益0.9元
605286	同力日升	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.02亿元至2.31亿元，同比上升40.00%至60.00%，营业收入约21.48亿元至25.06亿元，同比上升20.00%至40.00%
688041	海光信息	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约14.08亿元至15.86亿元，同比上升56.16%至75.90%，营业收入约58.36亿元至63.58亿元，同比上升48.02%至61.26%，扣非净利润约13.86亿元至15.28亿元，同比上升66.21%至83.24%
688049	炬芯科技	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约7090万元，同比上升51.09%，营业收入约4.66亿元，同比上升23.87%，扣非净利润约4800万元，同比上升31.16%
688252	天德钰	2024-10-11	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.918亿元，同比上升156.32%，营业收入约14.84亿元，同比上升79.57%，每股收益约0.47元，扣非净利润约1.663亿元，同比上升136.88%
688768	容知日新	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约215万元至320万元，营业收入约3.4亿元至3.5亿元，同比上升13.36%至16.69%，扣非净利润约165万元至245万元
836239	长虹能源	2024-10-11	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.35亿元至1.45亿元
000528	柳    工	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约12.39亿元至14.05亿元，同比上升50.00%至70.00%，每股收益约0.6371元至0.7221元，扣非净利润约11.28亿元至12.94亿元，同比上升81.00%至107.00%
002073	软控股份	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.3亿元至3.6亿元，同比上升57.42%至71.73%，每股收益约0.3256元至0.3552元，扣非净利润约2.97亿元至3.27亿元，同比上升76.98%至94.86%
002521	齐峰新材	2024-10-12	报表披露	2024年三季报归属净利润1.064亿元，同比下降32.38%，基本每股收益0.22元
002606	大连电瓷	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.3亿元至1.7亿元，同比上升236.05%至339.45%，每股收益约0.3元至0.39元，扣非净利润约1.1亿元至1.5亿元，同比上升334.71%至492.78%
300102	乾照光电	2024-10-12	报表披露	2024年三季报归属净利润4882万元，同比增长155.95%，基本每股收益0.05元
301227	森鹰窗业	2024-10-12	报表披露	2024年三季报归属净利润-3244万元，同比下降126.91%，基本每股收益-0.3493元
600131	国网信通	2024-10-12	业绩快报	2024年1-9月快报披露，营业总收入37.47亿元，归属净利润2.981亿元，基本每股收益0.25元
600161	天坛生物	2024-10-12	业绩快报	2024年1-9月快报披露，营业总收入40.73亿元，归属净利润10.52亿元，基本每股收益0.53元
600235	民丰特纸	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约6100万元，同比上升124.00%，扣非净利润约6100万元，同比上升136.00%
601139	深圳燃气	2024-10-12	业绩快报	2024年1-9月快报披露，营业总收入207.4亿元，归属净利润10.56亿元，基本每股收益0.37元
603181	皇马科技	2024-10-12	业绩预告	预计2024年1-9月业绩略增，归属净利润约2.816亿元至2.934亿元，同比上升20.00%至25.00%，扣非净利润约2.769亿元至2.872亿元，同比上升34.00%至39.00%
603893	瑞芯微	2024-10-12	业绩预告	预计2024年1-9月业绩预增，归属净利润约3.4亿元至3.6亿元，同比上升339.75%至365.62%，营业收入约21.6亿元，同比上升48.50%，净利润约3.4亿元至3.6亿元，同比上升339.75%至365.62%，扣非净利润约3.3亿元至3.5亿元，同比上升396.86%至426.98%
002479	富春环保	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.335亿元至2.724亿元，同比上升80.00%至110.00%，每股收益约0.2699元至0.3149元，扣非净利润约1.397亿元至1.676亿元，同比上升25.00%至50.00%
002633	申科股份	2024-10-14	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约700万元至850万元，同比上升192.62%至212.47%，每股收益约0.0467元至0.0567元，扣非净利润约570万元至720万元，同比上升159.56%至175.23%
300224	正海磁材	2024-10-14	报表披露	2024年三季报归属净利润1.892亿元，同比下降48.53%，基本每股收益0.23元
300446	航天智造	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约5亿元至6亿元，同比上升105.99%至147.19%，扣非净利润约4.4亿元至5.4亿元，同比上升467.53%至596.52%
300628	亿联网络	2024-10-14	业绩预告	预计2024年1-9月业绩略增，归属净利润约20.18亿元至20.98亿元，同比上升25.00%至30.00%，营业收入约40.3亿元至41.91亿元，同比上升25.00%至30.00%，扣非净利润约18.85亿元至19.57亿元，同比上升31.00%至36.00%
300758	七彩化学	2024-10-14	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约1.15亿元至1.25亿元，同比上升3064.83%至3322.65%，扣非净利润约1.048亿元至1.148亿元，同比上升751.79%至813.99%
301110	青木科技	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约6705万元至7205万元，同比上升150.41%至169.09%，扣非净利润约6051万元至6551万元，同比上升229.94%至257.20%
301556	托普云农	2024-10-14	业绩预告	预计2024年1-9月业绩略增，归属净利润约7400万元至7800万元，同比上升10.95%至16.95%，营业收入约3.3亿元至3.5亿元，同比上升9.16%至15.78%，扣非净利润约7100万元至7500万元，同比上升18.67%至25.36%
600021	上海电力	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约22.52亿元至26.8亿元，同比上升52.57%至81.57%，扣非净利润约21.58亿元至25.68亿元，同比上升47.30%至75.29%
600770	综艺股份	2024-10-14	报表披露	2024年三季报归属净利润7215万元，同比增长165.87%，基本每股收益0.06元
688018	乐鑫科技	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约2.51亿元，同比上升188.00%，营业收入约14.6亿元，同比上升42.00%，扣非净利润约2.308亿元，同比上升238.00%
688127	蓝特光学	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.58亿元至1.68亿元，同比上升72.09%至82.99%，扣非净利润约1.51亿元至1.61亿元，同比上升100.26%至113.52%
688213	思特威-W	2024-10-14	业绩预告	预计2024年1-9月业绩扭亏，归属净利润约2.523亿元至2.923亿元，营业收入约41亿元至43亿元，同比上升131.00%至143.00%，扣非净利润约2.821亿元至3.221亿元
688255	凯尔达	2024-10-14	业绩预告	预计2024年1-9月业绩预增，归属净利润约2800万元至3100万元，同比上升70.92%至89.23%，扣非净利润约2000万元至2300万元，同比上升409.33%至485.73%
688469	芯联集成-U	2024-10-14	业绩预告	预计2024年1-9月业绩减亏，归属净利润约-6.84亿元，同比上升49.73%，营业收入约45.47亿元，同比上升18.68%
000426	兴业银锡	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约12.5亿元至13.5亿元，同比上升130.22%至148.64%，每股收益约0.6804元至0.7348元，扣非净利润约12.6亿元至13.6亿元，同比上升123.07%至140.77%
000554	泰山石油	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约4800万元至6200万元，同比上升105.00%至165.00%，每股收益约0.0998元至0.129元，扣非净利润约5000万元至6400万元，同比上升108.00%至167.00%
000557	西部创业	2024-10-15	业绩预告	预计2024年1-9月业绩略增，归属净利润约2.24亿元，同比上升13.83%，每股收益约0.1536元，同比上升13.86%，扣非净利润约2.197亿元，同比上升8.02%
000563	陕国投Ａ	2024-10-15	业绩快报	2024年1-9月快报披露，营业总收入20.16亿元，归属净利润9.344亿元，基本每股收益0.1827元
000570	苏常柴Ａ	2024-10-15	业绩预告	预计2024年1-9月业绩预减，归属净利润约4000万元至5000万元，同比下降68.13%至74.50%，每股收益约0.0567元至0.0709元，扣非净利润约4000万元至4500万元，同比上升491.99%至540.99%
000600	建投能源	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约4.36亿元，同比上升92.38%，每股收益约0.242元，扣非净利润约3.72亿元，同比上升276.00%
000601	韶能股份	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约1.966亿元至2.066亿元，同比上升201.00%至216.31%，每股收益约0.1819元至0.1912元，扣非净利润约1.869亿元至1.969亿元，同比上升473.17%至503.83%
000627	天茂集团	2024-10-15	业绩预告	预计2024年1-9月业绩增亏，归属净利润约-3.45亿元至-3.15亿元，同比下降48.00%至62.00%，每股收益约-0.07元至-0.064元，扣非净利润约-3.44亿元至-3.14亿元，同比下降50.00%至64.00%
000807	云铝股份	2024-10-15	业绩预告	预计2024年1-9月业绩预增，归属净利润约38亿元至38.5亿元，同比上升51.70%至53.69%，每股收益约1.1元至1.11元，扣非净利润约36.5亿元至37亿元，同比上升47.51%至49.53%
000852	石化机械	2024-10-15	业绩预告	预计2024年1-9月业绩略减，归属净利润约8400万元至8700万元，同比下降1.00%至4.00%，每股收益约0.0893元至0.0925元，扣非净利润约6200万元至6500万元，同比下降3.00%至8.00%
